id,name,country,status,formed_in,genre,theme,active
693,Atimormia,Argentina,Split-up,2003,Death Metal,N/A,2003-?
694,Atlantis,Germany,Active,1996,Death Metal,N/A,1996-present
695,Atobic,Denmark,Split-up,1996,Death Metal,N/A,1996-?| 2004-2009
696,Atomic Aggressor,Chile,Active,1985,Death Metal,H.P. Lovecraft| Occultism| Anti-Christianity,1985-1992| 2007-present
697,Atomwinter,Germany,Active,2010,Death Metal,War| Death,2010-present
698,Atonement,France,Split-up,N/A,Death Metal,N/A,N/A
699,Atrax Mantis,Ireland,Active,2004,Death Metal,N/A,2004-present
700,Atrepsia,Italy,Split-up,1999,Death Metal,N/A,1999-?
701,Atretic Intestine,Finland,Split-up,2006,Death Metal,Gore| Torture| Death,2006-2016
702,Atreus,Belgium,Split-up,2003,Death Metal,N/A,1999-2003 (as Existence Denied)| 2003-2014